ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,181.98,281.09,11.77,2.35,Simple,0.93,SW
2,185.57,220.25,9.75,1.95,Simple,0.93,SW
3,201.05,366.18,12.37,2.47,Simple,0.93,SW
4,265.99,84.08,13.91,2.78,Simple,0.91,NE
5,297.79,162.66,7.99,1.6,Simple,0.91,NE
6,33.42,55.76,9.74,1.95,Simple,0.91,NW
7,101.52,315.16,12.04,2.41,Simple,0.91,SW
8,27.01,253.14,7.67,1.53,Simple,0.91,SW
9,215.61,381.94,9.5,1.9,Simple,0.91,SE
10,44.47,255.7,9.97,1.99,Simple,0.91,SW
11,81.6,304.32,8.9,1.78,Simple,0.91,SW
12,73.63,258.33,10.95,2.19,Simple,0.91,SW
13,333.62,157.51,14.23,2.85,Simple/Overlapping,0.91,NE
14,362.46,345.86,11.45,2.29,Simple,0.9,SE
15,202.89,64.72,11.78,2.36,Simple,0.9,NW
16,306.84,171.82,12.29,2.46,Simple,0.9,NE
17,66.65,235.46,8.32,1.66,Simple,0.9,SW
18,173.56,313.55,7.82,1.56,Simple,0.9,SW
19,247.04,174.02,9.56,1.91,Simple,0.9,NE
20,99.45,342.21,9.03,1.81,Simple,0.9,SW
21,61.17,170.54,8.39,1.68,Simple,0.9,NW
22,51.27,95.89,8.33,1.67,Simple,0.9,NW
23,73.6,67.41,8.98,1.8,Simple,0.89,NW
24,256.96,180.87,12.67,2.53,Simple,0.89,NE
25,397.83,35.05,9.68,1.94,Simple,0.89,NE
26,149.09,171.08,8.44,1.69,Simple,0.89,NW
27,88.35,254.52,8.32,1.66,Simple,0.89,SW
28,358.77,233.18,10.25,2.05,Simple,0.89,SE
29,131.33,118.18,9.01,1.8,Simple,0.89,NW
30,120.09,393.74,11.25,2.25,Simple,0.89,SW
31,108.18,82.17,8.98,1.8,Simple,0.89,NW
32,93.4,128.77,8.01,1.6,Simple,0.89,NW
33,404.87,190.32,8.23,1.65,Simple,0.88,NE
34,275.74,45.09,8.6,1.72,Simple,0.88,NE
35,28.43,229.11,8.56,1.71,Simple,0.88,SW
36,139.92,210.17,8.2,1.64,Simple,0.88,SW
37,412.15,153.89,10.06,2.01,Simple,0.88,NE
38,378.59,213.53,8.36,1.67,Simple,0.88,SE
39,18.99,321.71,6.99,1.4,Simple,0.87,SW
40,134.36,298.05,6.56,1.31,Simple,0.87,SW
41,89.64,85.09,7.24,1.45,Simple,0.87,NW
42,280.83,259.73,8.49,1.7,Simple,0.87,SE
43,130.36,185.33,7.23,1.45,Simple,0.87,NW
44,152.4,139.85,8.02,1.6,Simple,0.86,NW
45,324.9,163.51,8.15,1.63,Simple/Overlapping,0.86,NE
46,59.15,272.32,7.05,1.41,Simple,0.86,SW
47,77.11,133.08,7.0,1.4,Simple,0.85,NW
48,237.48,349.31,9.22,1.84,Simple,0.85,SE
49,171.23,86.44,7.42,1.48,Simple,0.85,NW
50,384.58,228.8,8.2,1.64,Simple,0.85,SE
51,197.72,181.01,12.71,2.54,Simple,0.85,NW
52,44.79,364.83,8.86,1.77,Simple,0.85,SW
53,54.28,107.3,7.44,1.49,Simple,0.85,NW
54,364.27,222.01,7.22,1.44,Simple,0.85,SE
55,26.14,5.65,8.08,1.62,Simple,0.85,NW
56,101.27,276.35,10.38,2.08,Simple,0.84,SW
57,285.2,63.17,8.23,1.65,Simple,0.84,NE
58,104.07,377.57,6.97,1.39,Simple,0.84,SW
59,324.86,120.76,8.4,1.68,Simple,0.84,NE
60,83.1,26.26,7.29,1.46,Simple,0.83,NW
61,183.01,334.44,8.03,1.61,Simple,0.83,SW
62,234.83,180.51,6.8,1.36,Simple,0.83,NE
63,223.63,166.16,7.47,1.49,Simple,0.83,NE
64,382.71,35.33,7.94,1.59,Simple,0.83,NE
65,314.32,340.16,8.23,1.65,Simple,0.83,SE
66,120.35,241.87,7.14,1.43,Simple,0.83,SW
67,381.11,320.15,10.76,2.15,Simple,0.82,SE
68,287.67,177.45,6.75,1.35,Simple,0.82,NE
69,407.92,178.93,8.16,1.63,Simple,0.82,NE
70,90.24,393.73,5.99,1.2,Simple,0.81,SW
71,183.51,262.46,7.95,1.59,Simple,0.81,SW
72,323.56,196.21,8.09,1.62,Simple,0.81,NE
73,335.99,21.42,7.57,1.51,Simple,0.81,NE
74,390.26,186.87,9.52,1.9,Simple/Overlapping,0.81,NE
75,233.8,258.11,7.33,1.47,Simple,0.8,SE
