ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,306.09,247.01,9.65,1.93,Simple,0.92,SE
2,180.46,117.48,9.33,1.87,Simple,0.91,NW
3,136.21,236.45,8.49,1.7,Simple,0.9,SW
4,255.1,76.48,18.26,3.65,Simple,0.89,NE
5,222.21,150.94,13.39,2.68,Simple,0.89,NE
6,194.92,222.54,7.69,1.54,Simple,0.89,SW
7,293.03,332.07,9.36,1.87,Simple,0.89,SE
8,196.9,277.44,13.02,2.6,Simple,0.89,SW
9,236.42,154.25,13.61,2.72,Simple,0.88,NE
10,100.44,115.46,12.27,2.45,Simple,0.88,NW
11,226.65,405.89,11.51,2.3,Simple,0.88,SE
12,283.61,254.06,8.96,1.79,Simple,0.88,SE
13,171.33,258.91,7.67,1.53,Simple,0.87,SW
14,183.44,184.1,18.26,3.65,Simple,0.87,NW
15,252.32,127.6,8.1,1.62,Simple,0.87,NE
16,169.06,122.13,10.53,2.11,Simple/Overlapping,0.86,NW
17,301.21,255.1,7.81,1.56,Simple,0.86,SE
18,249.19,383.46,9.41,1.88,Simple,0.86,SE
19,257.93,96.29,14.05,2.81,Simple,0.86,NE
20,114.76,52.77,10.17,2.03,Simple,0.85,NW
21,147.95,108.39,15.42,3.08,Simple,0.85,NW
22,215.81,139.88,9.03,1.81,Simple,0.85,NE
23,208.31,128.2,9.54,1.91,Simple,0.85,NE
24,314.17,308.72,9.25,1.85,Simple,0.84,SE
25,218.52,362.41,10.34,2.07,Simple,0.82,SE
26,228.24,274.66,38.84,7.77,Complex,0.81,SE
27,295.69,118.36,44.53,8.91,Complex,0.81,NE
28,320.91,175.02,7.94,1.59,Simple,0.8,NE
29,90.2,381.04,7.41,1.48,Simple,0.79,SW
30,330.76,92.68,8.03,1.61,Simple,0.78,NE
31,166.88,328.78,7.69,1.54,Simple,0.78,SW
32,86.4,336.97,9.67,1.93,Simple,0.78,SW
33,158.64,399.69,20.47,4.09,Complex/Overlapping,0.76,SW
34,292.02,371.67,7.35,1.47,Simple,0.75,SE
35,281.24,121.89,7.79,1.56,Simple,0.74,NE
36,109.23,364.15,6.91,1.38,Simple/Overlapping,0.74,SW
37,95.71,272.46,6.58,1.32,Simple,0.73,SW
38,114.91,66.68,7.07,1.41,Simple,0.72,NW
39,99.31,59.66,8.78,1.76,Simple,0.71,NW
40,252.25,308.09,8.88,1.78,Simple,0.71,SE
41,270.51,228.61,6.68,1.34,Simple,0.7,SE
42,202.97,100.91,48.62,9.72,Complex/Overlapping,0.7,NW
43,302.38,360.99,5.32,1.06,Simple,0.69,SE
44,184.35,391.24,6.97,1.39,Simple,0.69,SW
45,206.84,28.57,8.16,1.63,Simple,0.69,NW
46,139.34,64.58,7.83,1.57,Simple,0.67,NW
47,263.61,324.25,6.11,1.22,Simple,0.67,SE
48,267.28,263.16,7.25,1.45,Simple,0.66,SE
49,185.28,411.64,8.77,1.75,Simple/Overlapping,0.66,SW
50,161.86,172.34,5.83,1.17,Simple,0.66,NW
51,193.46,108.12,8.04,1.61,Simple/Overlapping,0.66,NW
52,266.86,347.95,6.22,1.24,Simple,0.66,SE
53,109.7,175.08,6.6,1.32,Simple,0.65,NW
54,286.76,95.03,6.56,1.31,Simple,0.65,NE
55,97.82,262.46,6.19,1.24,Simple,0.65,SW
56,253.35,231.71,7.76,1.55,Simple,0.63,SE
57,283.61,204.24,6.33,1.27,Simple,0.63,NE
58,277.7,74.29,11.38,2.28,Simple,0.61,NE
59,126.36,69.83,6.71,1.34,Simple,0.6,NW
60,220.5,51.73,5.96,1.19,Simple,0.59,NE
61,98.41,75.42,9.4,1.88,Simple/Overlapping,0.58,NW
62,167.06,116.83,24.39,4.88,Complex/Overlapping,0.58,NW
63,285.67,303.32,10.94,2.19,Simple,0.58,SE
64,168.83,117.33,32.44,6.49,Complex/Overlapping,0.58,NW
65,266.68,119.63,8.2,1.64,Simple,0.57,NE
66,216.48,282.06,9.98,2.0,Simple,0.57,SE
67,162.21,406.99,14.39,2.88,Simple/Overlapping,0.57,SW
68,231.06,163.22,6.34,1.27,Simple,0.56,NE
69,107.83,215.12,6.51,1.3,Simple,0.56,SW
70,246.25,160.01,6.68,1.34,Simple,0.54,NE
71,162.84,70.22,5.95,1.19,Simple,0.54,NW
72,206.76,281.54,6.0,1.2,Simple,0.53,SW
73,180.95,269.66,5.92,1.18,Simple,0.52,SW
74,108.72,363.16,7.22,1.44,Simple/Overlapping,0.52,SW
75,160.52,402.55,21.53,4.31,Complex/Overlapping,0.51,SW
76,109.97,58.98,7.0,1.4,Simple,0.5,NW
77,227.11,353.03,7.86,1.57,Simple,0.49,SE
78,130.85,252.76,7.51,1.5,Simple/Overlapping,0.49,SW
79,170.5,98.49,6.16,1.23,Simple,0.48,NW
80,263.26,65.02,10.61,2.12,Simple,0.48,NE
81,220.81,89.89,18.32,3.66,Simple/Overlapping,0.47,NE
82,204.72,121.52,6.24,1.25,Simple,0.44,NW
83,281.09,340.58,5.33,1.07,Simple,0.43,SE
84,196.55,24.61,6.38,1.28,Simple,0.43,NW
85,316.01,299.5,9.41,1.88,Simple,0.43,SE
86,329.25,272.67,5.88,1.18,Simple,0.43,SE
87,124.44,105.77,6.65,1.33,Simple,0.42,NW
88,258.13,115.11,5.23,1.05,Simple,0.41,NE
89,183.14,19.66,7.75,1.55,Simple,0.4,NW
90,193.59,105.79,26.49,5.3,Degraded/Overlapping,0.4,NW
91,312.45,58.72,5.69,1.14,Simple,0.39,NE
92,223.04,393.18,7.33,1.47,Simple,0.38,SE
93,214.05,370.03,9.35,1.87,Simple,0.38,SE
94,253.76,347.12,5.92,1.18,Simple,0.38,SE
95,145.23,164.86,6.12,1.22,Simple,0.37,NW
96,198.07,162.31,15.71,3.14,Simple,0.36,NW
97,128.9,353.37,7.19,1.44,Simple,0.36,SW
98,291.65,47.19,19.04,3.81,Simple,0.36,NE
99,202.4,46.46,5.62,1.12,Simple,0.34,NW
100,131.16,257.29,6.47,1.29,Simple/Overlapping,0.34,SW
101,90.55,70.1,7.58,1.52,Simple,0.34,NW
102,221.31,134.92,43.05,8.61,Complex,0.33,NE
103,102.75,71.62,7.6,1.52,Simple/Overlapping,0.33,NW
104,123.91,55.14,6.51,1.3,Simple,0.33,NW
105,103.54,411.99,11.07,2.21,Degraded,0.32,SW
106,253.21,107.55,5.19,1.04,Simple,0.31,NE
107,216.48,411.36,6.43,1.29,Simple,0.31,SE
108,88.46,270.57,5.58,1.12,Simple,0.31,SW
109,258.92,163.83,6.9,1.38,Simple/Overlapping,0.3,NE
110,164.72,151.43,19.73,3.95,Simple,0.29,NW
111,91.84,395.09,5.75,1.15,Simple,0.29,SW
112,104.23,264.34,5.57,1.11,Simple,0.29,SW
113,166.08,253.35,5.51,1.1,Simple,0.28,SW
114,318.99,167.45,6.1,1.22,Simple,0.28,NE
115,134.35,403.33,45.97,9.19,Degraded/Overlapping,0.28,SW
116,241.94,346.05,5.14,1.03,Simple,0.28,SE
117,259.81,167.23,7.07,1.41,Simple/Overlapping,0.27,NE
118,241.6,217.35,26.78,5.36,Complex,0.27,SE
119,255.41,392.17,6.2,1.24,Simple,0.27,SE
120,181.93,310.37,5.64,1.13,Simple,0.26,SW
121,311.53,37.69,5.31,1.06,Simple,0.26,NE
122,329.27,28.34,14.07,2.81,Simple,0.26,NE
123,170.27,413.17,8.94,1.79,Degraded,0.26,SW
124,186.21,412.22,10.8,2.16,Degraded/Overlapping,0.25,SW
