ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,280.74,246.48,22.95,4.59,Complex,0.95,SE
2,168.51,135.03,21.36,4.27,Complex,0.91,NW
3,45.11,232.28,12.29,2.46,Simple,0.9,SW
4,343.49,218.57,9.22,1.84,Simple,0.88,SE
5,210.48,244.69,9.61,1.92,Simple,0.88,SE
6,280.68,297.06,8.42,1.68,Simple,0.87,SE
7,326.27,293.95,8.08,1.62,Simple,0.87,SE
8,85.4,371.04,7.2,1.44,Simple,0.87,SW
9,146.56,48.48,19.3,3.86,Simple,0.86,NW
10,102.14,260.91,20.64,4.13,Complex,0.85,SW
11,83.54,210.74,8.09,1.62,Simple,0.83,SW
12,303.08,239.19,7.6,1.52,Simple,0.83,SE
13,43.99,9.23,13.8,2.76,Simple,0.83,NW
14,316.09,110.32,29.33,5.87,Complex/Overlapping,0.83,NE
15,176.47,294.6,12.04,2.41,Simple,0.82,SW
16,146.26,267.85,9.95,1.99,Simple,0.81,SW
17,375.42,397.2,7.19,1.44,Simple,0.81,SE
18,114.37,362.35,16.16,3.23,Simple,0.79,SW
19,289.9,366.9,7.02,1.4,Simple,0.75,SE
20,154.03,116.1,6.39,1.28,Simple,0.74,NW
21,312.86,394.98,7.99,1.6,Simple,0.72,SE
22,337.57,275.23,11.13,2.23,Simple,0.71,SE
23,49.93,261.14,6.82,1.36,Simple,0.71,SW
24,275.52,202.26,9.67,1.93,Simple,0.67,NE
25,228.7,347.47,6.61,1.32,Simple,0.63,SE
26,191.41,293.44,6.66,1.33,Simple,0.61,SW
27,175.66,350.33,10.93,2.19,Simple,0.59,SW
28,357.08,39.82,81.09,16.22,Complex,0.58,NE
29,323.65,122.54,37.0,7.4,Complex/Overlapping,0.57,NE
30,28.57,177.92,12.15,2.43,Simple,0.57,NW
31,131.28,331.55,31.63,6.33,Complex,0.57,SW
32,396.82,216.15,6.1,1.22,Simple,0.56,SE
33,241.93,363.51,6.03,1.21,Simple,0.56,SE
34,375.31,344.32,6.48,1.3,Simple,0.54,SE
35,149.72,332.24,6.81,1.36,Simple,0.54,SW
36,132.12,49.76,9.02,1.8,Simple/Overlapping,0.53,NW
37,100.4,10.18,9.73,1.95,Simple,0.51,NW
38,300.97,71.74,10.37,2.07,Simple,0.47,NE
39,94.14,136.83,19.66,3.93,Simple,0.45,NW
40,172.76,109.82,8.15,1.63,Simple,0.44,NW
41,171.86,324.5,9.61,1.92,Simple,0.44,SW
42,131.89,56.66,11.78,2.36,Simple/Overlapping,0.43,NW
43,72.76,22.73,8.58,1.72,Simple,0.42,NW
44,301.55,24.54,32.84,6.57,Complex,0.42,NE
45,233.08,274.22,7.22,1.44,Simple,0.42,SE
46,226.34,213.66,32.06,6.41,Complex,0.39,SE
47,105.86,61.64,29.47,5.89,Complex,0.38,NW
48,329.44,371.54,30.63,6.13,Complex,0.38,SE
49,226.66,306.07,7.14,1.43,Simple,0.37,SE
50,262.49,393.81,34.26,6.85,Complex,0.36,SE
51,362.71,90.31,12.81,2.56,Simple,0.36,NE
52,19.67,16.69,6.24,1.25,Simple,0.34,NW
53,81.04,234.61,20.62,4.12,Complex/Overlapping,0.34,SW
54,370.45,248.5,17.33,3.47,Simple,0.34,SE
55,117.77,210.15,8.86,1.77,Simple,0.33,SW
56,384.35,192.23,32.95,6.59,Complex,0.32,NE
57,85.31,229.24,8.16,1.63,Simple/Overlapping,0.32,SW
58,34.55,106.43,9.86,1.97,Simple,0.32,NW
59,181.4,277.19,16.97,3.39,Simple,0.29,SW
60,308.7,353.31,25.04,5.01,Complex,0.29,SE
61,90.89,185.23,57.17,11.43,Complex,0.29,NW
62,256.29,70.34,18.55,3.71,Simple,0.28,NE
63,49.09,120.65,5.67,1.13,Simple,0.28,NW
64,19.11,187.93,7.62,1.52,Simple,0.25,NW
