ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,153.64,257.19,24.37,4.87,Complex,0.95,SW
2,203.93,188.84,31.23,6.25,Complex,0.92,NW
3,104.73,257.63,13.48,2.7,Simple,0.91,SW
4,176.45,321.48,35.23,7.05,Complex,0.91,SW
5,305.6,60.58,11.8,2.36,Simple,0.91,NE
6,331.64,69.49,9.8,1.96,Simple,0.9,NE
7,116.41,137.35,17.69,3.54,Simple,0.9,NW
8,329.36,395.9,18.38,3.68,Simple,0.9,SE
9,219.51,269.59,10.44,2.09,Simple,0.89,SE
10,141.4,115.53,35.57,7.11,Complex,0.89,NW
11,104.16,145.55,11.27,2.25,Simple,0.89,NW
12,138.41,320.71,9.14,1.83,Simple,0.88,SW
13,165.21,348.85,14.3,2.86,Simple,0.88,SW
14,268.12,86.74,8.59,1.72,Simple,0.88,NE
15,141.22,388.35,8.56,1.71,Simple,0.88,SW
16,214.73,67.66,10.48,2.1,Simple,0.87,NE
17,336.52,269.01,11.28,2.26,Simple,0.87,SE
18,251.89,117.24,12.83,2.57,Simple,0.87,NE
19,329.38,38.72,8.59,1.72,Simple,0.86,NE
20,316.49,84.51,11.68,2.34,Simple,0.86,NE
21,273.09,309.94,16.39,3.28,Simple,0.86,SE
22,290.75,101.06,11.76,2.35,Simple,0.86,NE
23,347.53,155.16,10.9,2.18,Simple,0.86,NE
24,90.09,267.27,19.74,3.95,Simple,0.86,SW
25,304.21,279.45,9.05,1.81,Simple,0.85,SE
26,319.14,251.96,17.61,3.52,Simple,0.85,SE
27,275.02,154.23,13.23,2.65,Simple,0.85,NE
28,111.74,63.39,14.45,2.89,Simple,0.85,NW
29,298.63,147.49,7.68,1.54,Simple,0.84,NE
30,102.15,368.09,8.82,1.76,Simple,0.84,SW
31,112.24,165.21,31.81,6.36,Complex,0.83,NW
32,196.96,214.03,11.73,2.35,Simple,0.83,SW
33,146.73,37.26,7.32,1.46,Simple,0.82,NW
34,334.09,5.27,10.87,2.17,Simple,0.82,NE
35,300.77,269.56,8.96,1.79,Simple,0.81,SE
36,241.59,12.09,20.36,4.07,Complex,0.81,NE
37,312.52,378.26,9.2,1.84,Simple,0.81,SE
