ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,142.9,41.31,11.93,2.39,Simple,0.91,NW
2,345.97,69.71,7.03,1.41,Simple,0.9,NE
3,290.39,91.04,36.84,7.37,Complex,0.89,NE
4,170.75,184.36,7.93,1.59,Simple,0.87,NW
5,103.17,98.32,18.99,3.8,Simple,0.87,NW
6,144.23,269.05,10.29,2.06,Simple,0.86,SW
7,226.24,85.87,7.37,1.47,Simple,0.86,NE
8,132.77,278.37,11.73,2.35,Simple,0.86,SW
9,102.43,327.39,7.91,1.58,Simple,0.85,SW
10,108.05,116.0,22.02,4.4,Complex,0.85,NW
11,77.07,280.48,11.67,2.33,Simple,0.85,SW
12,77.61,295.11,7.86,1.57,Simple,0.84,SW
13,199.15,257.1,14.6,2.92,Simple,0.84,SW
14,356.64,94.62,9.39,1.88,Simple,0.84,NE
15,65.27,85.01,11.99,2.4,Simple,0.83,NW
16,111.38,145.23,10.52,2.1,Simple,0.82,NW
17,336.26,71.58,7.62,1.52,Simple,0.82,NE
18,74.36,342.98,10.38,2.08,Simple,0.81,SW
19,146.74,171.52,18.78,3.76,Simple,0.8,NW
20,66.38,258.59,13.07,2.61,Simple,0.8,SW
21,334.72,22.26,7.05,1.41,Simple,0.8,NE
22,100.38,343.36,11.71,2.34,Simple,0.8,SW
23,85.93,8.35,7.83,1.57,Simple,0.8,NW
24,188.43,230.27,32.46,6.49,Complex/Overlapping,0.79,SW
25,154.84,149.71,13.71,2.74,Simple,0.79,NW
26,118.24,284.17,9.71,1.94,Simple,0.79,SW
27,68.19,221.02,7.93,1.59,Simple,0.79,SW
28,359.92,367.81,8.11,1.62,Simple,0.79,SE
29,99.71,165.12,7.73,1.55,Simple,0.78,NW
30,71.45,214.96,7.5,1.5,Simple,0.78,SW
31,190.22,212.94,11.17,2.23,Simple,0.78,SW
32,86.18,304.14,16.58,3.32,Simple,0.78,SW
33,304.85,33.6,11.74,2.35,Simple,0.77,NE
34,165.08,365.9,7.57,1.51,Simple,0.76,SW
35,342.75,163.91,11.86,2.37,Simple,0.76,NE
36,294.96,327.25,16.06,3.21,Simple/Overlapping,0.75,SE
37,185.28,200.84,9.48,1.9,Simple/Overlapping,0.75,NW
38,136.43,374.05,14.15,2.83,Simple,0.74,SW
39,63.85,152.73,7.43,1.49,Simple,0.72,NW
40,99.9,202.75,7.28,1.46,Simple,0.72,NW
41,129.09,185.7,7.92,1.58,Simple,0.72,NW
42,58.03,97.68,7.3,1.46,Simple,0.72,NW
43,316.5,7.93,9.42,1.88,Simple,0.7,NE
44,202.9,40.57,7.37,1.47,Simple,0.69,NW
45,186.1,242.86,16.79,3.36,Simple/Overlapping,0.69,SW
46,329.59,149.33,6.41,1.28,Simple,0.68,NE
47,181.51,207.69,10.14,2.03,Simple/Overlapping,0.68,NW
48,212.13,215.12,18.53,3.71,Simple,0.68,SE
49,245.49,20.94,23.13,4.63,Complex/Overlapping,0.67,NE
50,69.27,70.7,7.57,1.51,Simple,0.66,NW
51,255.82,343.79,6.22,1.24,Simple,0.63,SE
52,256.66,16.63,31.63,6.33,Complex/Overlapping,0.62,NE
53,315.46,100.97,5.72,1.14,Simple,0.62,NE
54,132.39,23.93,9.39,1.88,Simple/Overlapping,0.61,NW
55,150.81,397.79,12.57,2.51,Simple,0.61,SW
56,181.93,227.63,20.29,4.06,Complex/Overlapping,0.58,SW
57,334.93,330.11,7.67,1.53,Simple,0.58,SE
58,169.3,266.35,5.83,1.17,Simple,0.57,SW
59,63.87,246.39,7.9,1.58,Simple,0.57,SW
60,259.03,14.19,25.68,5.14,Complex/Overlapping,0.55,NE
61,232.74,129.05,11.94,2.39,Simple,0.55,NE
62,106.91,293.38,8.79,1.76,Simple/Overlapping,0.54,SW
63,293.98,329.54,15.4,3.08,Simple/Overlapping,0.53,SE
64,75.39,199.58,6.6,1.32,Simple,0.53,NW
65,136.12,7.53,18.03,3.61,Simple,0.52,NW
66,187.67,238.65,25.33,5.07,Complex/Overlapping,0.52,SW
67,57.88,34.38,5.48,1.1,Simple,0.52,NW
68,96.93,219.57,6.02,1.2,Simple,0.51,SW
69,357.21,3.91,15.33,3.07,Degraded,0.51,NE
70,55.7,408.57,9.61,1.92,Simple,0.51,SW
71,358.28,405.99,17.97,3.59,Degraded,0.51,SE
72,277.92,135.49,6.76,1.35,Simple,0.5,NE
