ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,126.21,357.19,11.83,2.37,Simple,0.92,SW
2,268.73,251.46,9.91,1.98,Simple,0.92,SE
3,304.43,76.46,15.0,3.0,Simple,0.9,NE
4,269.27,360.87,8.4,1.68,Simple,0.9,SE
5,98.87,317.99,10.8,2.16,Simple,0.89,SW
6,126.5,291.21,8.67,1.73,Simple,0.89,SW
7,71.6,145.38,9.5,1.9,Simple,0.89,NW
8,297.35,327.92,7.16,1.43,Simple,0.88,SE
9,220.01,325.44,9.54,1.91,Simple,0.87,SE
10,353.26,14.13,8.44,1.69,Simple,0.87,NE
11,272.35,27.93,8.15,1.63,Simple,0.87,NE
12,98.39,331.71,7.4,1.48,Simple,0.87,SW
13,240.87,110.81,6.87,1.37,Simple,0.86,NE
14,281.71,199.65,7.49,1.5,Simple,0.86,NE
15,133.87,33.84,7.6,1.52,Simple,0.86,NW
16,325.93,367.21,12.9,2.58,Simple,0.86,SE
17,168.14,353.73,9.35,1.87,Simple,0.85,SW
18,228.58,356.0,7.09,1.42,Simple,0.85,SE
19,192.14,91.84,7.46,1.49,Simple,0.84,NW
20,181.69,115.56,8.19,1.64,Simple,0.84,NW
21,359.07,338.03,12.12,2.42,Simple,0.83,SE
22,296.19,69.43,9.59,1.92,Simple,0.83,NE
23,302.66,307.13,7.39,1.48,Simple,0.82,SE
24,309.25,12.6,8.27,1.65,Simple,0.81,NE
25,295.51,247.7,6.51,1.3,Simple,0.81,SE
26,110.6,70.01,7.06,1.41,Simple,0.81,NW
27,331.91,285.11,6.16,1.23,Simple,0.81,SE
28,348.56,25.29,7.5,1.5,Simple,0.8,NE
29,143.41,386.53,7.21,1.44,Simple,0.8,SW
30,110.47,30.64,8.61,1.72,Simple,0.8,NW
31,278.78,300.63,6.13,1.23,Simple,0.8,SE
32,166.45,286.51,7.73,1.55,Simple,0.78,SW
33,226.77,407.92,7.69,1.54,Simple,0.77,SE
34,255.38,413.07,9.15,1.83,Degraded,0.76,SE
35,352.7,343.64,6.12,1.22,Simple,0.76,SE
36,79.03,279.14,6.71,1.34,Simple,0.75,SW
37,208.14,17.8,8.51,1.7,Simple,0.74,NE
38,99.34,409.81,7.39,1.48,Simple,0.74,SW
39,319.6,410.02,6.4,1.28,Simple,0.73,SE
40,348.38,355.26,6.48,1.3,Simple,0.73,SE
41,252.86,325.08,6.15,1.23,Simple,0.7,SE
42,178.77,274.99,7.19,1.44,Simple,0.69,SW
43,229.99,385.84,6.2,1.24,Simple,0.68,SE
44,77.01,75.84,6.58,1.32,Simple,0.68,NW
45,153.52,364.58,7.66,1.53,Simple,0.67,SW
46,190.15,56.18,5.87,1.17,Simple,0.65,NW
47,241.0,318.91,6.78,1.36,Simple/Overlapping,0.65,SE
48,138.68,413.44,8.59,1.72,Degraded,0.64,SW
49,146.14,281.01,6.43,1.29,Simple,0.64,SW
50,265.94,386.66,5.64,1.13,Simple,0.63,SE
51,347.52,264.09,5.83,1.17,Simple,0.62,SE
52,200.9,328.63,6.67,1.33,Simple,0.61,SW
53,267.45,400.96,6.16,1.23,Simple,0.61,SE
54,85.75,227.82,7.02,1.4,Simple,0.61,SW
55,303.49,387.8,5.96,1.19,Simple,0.6,SE
56,280.95,111.04,6.06,1.21,Simple,0.59,NE
57,113.36,213.69,7.27,1.45,Simple,0.58,SW
58,283.32,398.68,5.48,1.1,Simple,0.58,SE
59,330.93,378.33,5.79,1.16,Simple,0.57,SE
60,130.89,134.47,5.73,1.15,Simple,0.56,NW
61,94.82,174.38,6.27,1.25,Simple,0.55,NW
62,353.54,188.82,5.79,1.16,Simple,0.54,NE
63,304.63,86.47,5.96,1.19,Simple,0.53,NE
64,117.48,387.54,6.24,1.25,Simple,0.52,SW
65,83.44,156.01,7.14,1.43,Simple,0.52,NW
66,276.07,240.74,5.93,1.19,Simple,0.51,SE
67,334.63,367.9,6.79,1.36,Simple,0.51,SE
68,299.59,160.31,6.23,1.25,Simple,0.5,NE
69,210.06,170.59,9.56,1.91,Simple,0.5,NE
70,328.09,410.13,5.71,1.14,Simple,0.5,SE
71,183.38,123.41,5.52,1.1,Simple,0.49,NW
72,130.32,70.85,6.05,1.21,Simple,0.49,NW
73,165.76,183.36,6.27,1.25,Simple,0.49,NW
74,88.66,118.77,6.48,1.3,Simple,0.49,NW
75,302.9,144.36,5.75,1.15,Simple,0.49,NE
76,297.96,314.32,5.52,1.1,Simple,0.48,SE
77,247.48,380.02,6.12,1.22,Simple,0.48,SE
78,338.03,76.08,8.38,1.68,Simple,0.48,NE
79,342.13,141.64,5.96,1.19,Simple,0.48,NE
80,329.94,255.73,5.41,1.08,Simple,0.47,SE
81,359.34,87.01,5.57,1.11,Simple,0.47,NE
82,135.15,226.1,6.8,1.36,Simple,0.45,SW
83,233.42,29.36,5.86,1.17,Simple,0.44,NE
84,171.96,179.52,6.07,1.21,Simple,0.43,NW
85,291.49,82.16,5.57,1.11,Simple,0.42,NE
86,212.22,295.89,6.01,1.2,Simple,0.41,SE
87,328.86,271.68,6.79,1.36,Simple,0.41,SE
88,201.15,284.6,6.18,1.24,Simple,0.41,SW
89,150.94,319.32,6.87,1.37,Simple,0.4,SW
90,120.57,52.38,5.15,1.03,Simple,0.37,NW
91,118.86,35.53,10.32,2.06,Simple,0.37,NW
92,136.29,233.72,6.01,1.2,Simple,0.37,SW
93,175.37,123.66,5.97,1.19,Simple,0.36,NW
94,169.5,161.64,5.38,1.08,Simple,0.35,NW
95,271.5,334.02,5.42,1.08,Simple,0.35,SE
96,138.35,47.73,5.75,1.15,Simple,0.35,NW
97,241.14,317.85,7.74,1.55,Simple/Overlapping,0.34,SE
98,226.93,374.5,6.02,1.2,Simple,0.33,SE
99,299.94,151.0,5.77,1.15,Simple,0.33,NE
100,253.3,392.58,6.01,1.2,Simple,0.32,SE
101,247.05,322.32,5.66,1.13,Simple,0.3,SE
102,349.35,307.37,6.79,1.36,Simple,0.3,SE
103,142.09,43.72,5.65,1.13,Simple,0.3,NW
104,358.18,193.64,6.93,1.39,Simple,0.29,NE
105,261.92,231.0,5.24,1.05,Simple,0.29,SE
106,239.26,362.74,5.56,1.11,Simple,0.29,SE
107,249.4,248.96,5.41,1.08,Simple,0.29,SE
108,160.79,68.01,5.19,1.04,Simple,0.29,NW
109,290.53,296.27,5.19,1.04,Simple,0.28,SE
110,127.38,313.84,6.41,1.28,Simple,0.28,SW
111,245.02,389.13,6.88,1.38,Simple,0.27,SE
112,147.79,360.86,6.29,1.26,Simple,0.27,SW
113,294.46,301.79,5.09,1.02,Simple,0.27,SE
114,252.02,221.3,6.11,1.22,Simple,0.26,SE
115,352.43,85.97,6.51,1.3,Simple,0.26,NE
116,190.29,42.15,5.32,1.06,Simple,0.26,NW
117,134.74,304.16,5.16,1.03,Simple,0.26,SW
118,250.38,348.62,5.82,1.16,Simple,0.25,SE
119,353.16,271.42,5.27,1.05,Simple,0.25,SE
