ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,155.38,299.5,7.15,1.43,Simple,0.92,SW
2,350.33,284.98,8.35,1.67,Simple,0.9,SE
3,327.25,267.0,9.99,2.0,Simple,0.88,SE
4,371.2,241.12,7.73,1.55,Simple,0.88,SE
5,64.88,221.03,13.59,2.72,Simple,0.85,SW
6,264.13,23.59,9.84,1.97,Simple,0.85,NE
7,225.56,53.78,10.22,2.04,Simple,0.84,NE
8,365.32,147.03,6.15,1.23,Simple,0.83,NE
9,40.79,290.99,6.96,1.39,Simple,0.8,SW
10,214.37,138.36,20.34,4.07,Complex,0.8,NE
11,341.9,334.52,12.08,2.42,Simple,0.78,SE
12,347.2,319.41,13.29,2.66,Simple,0.78,SE
13,307.58,67.92,7.59,1.52,Simple,0.76,NE
14,207.68,374.56,13.8,2.76,Simple,0.74,SW
15,131.85,118.2,6.68,1.34,Simple,0.71,NW
16,364.36,44.95,9.72,1.94,Simple,0.71,NE
17,121.93,81.34,9.63,1.93,Simple,0.71,NW
18,213.11,69.16,9.01,1.8,Simple,0.7,NE
19,83.21,319.14,19.05,3.81,Simple,0.7,SW
20,179.7,362.48,5.69,1.14,Simple,0.68,SW
21,329.01,63.25,7.23,1.45,Simple,0.67,NE
22,42.19,236.14,13.25,2.65,Simple,0.63,SW
23,355.76,50.29,8.83,1.77,Simple,0.63,NE
24,311.46,300.75,12.93,2.59,Simple,0.63,SE
25,92.59,171.21,6.74,1.35,Simple,0.62,NW
26,96.42,354.21,11.36,2.27,Simple,0.6,SW
27,338.06,311.76,11.93,2.39,Simple,0.6,SE
28,170.42,323.17,5.28,1.06,Simple,0.59,SW
29,371.25,36.59,7.3,1.46,Simple,0.58,NE
30,146.41,115.65,10.15,2.03,Simple,0.57,NW
31,158.86,287.21,5.17,1.03,Simple,0.56,SW
32,349.21,171.51,12.78,2.56,Simple,0.56,NE
33,323.03,307.32,12.93,2.59,Simple,0.54,SE
34,111.76,172.68,22.94,4.59,Complex/Overlapping,0.54,NW
35,308.59,362.63,8.66,1.73,Simple,0.53,SE
36,50.94,253.79,24.61,4.92,Complex,0.52,SW
37,362.92,173.98,8.09,1.62,Simple,0.52,NE
38,365.19,274.78,11.28,2.26,Simple,0.5,SE
39,159.01,226.79,25.81,5.16,Complex,0.5,SW
40,248.67,70.3,5.33,1.07,Simple,0.49,NE
41,67.46,335.49,11.76,2.35,Simple,0.49,SW
42,297.23,374.52,5.44,1.09,Simple,0.48,SE
43,355.37,142.48,9.39,1.88,Simple,0.46,NE
44,238.48,48.15,12.44,2.49,Simple,0.44,NE
45,221.27,64.8,6.04,1.21,Simple,0.44,NE
46,376.02,246.77,5.94,1.19,Simple,0.44,SE
47,377.25,252.33,7.23,1.45,Simple,0.43,SE
48,295.89,361.33,4.67,0.93,Simple,0.43,SE
49,103.83,295.34,8.75,1.75,Simple,0.42,SW
50,194.78,67.33,8.2,1.64,Simple/Overlapping,0.4,NW
51,222.52,300.08,4.98,1.0,Simple,0.4,SE
52,200.2,134.6,7.58,1.52,Simple,0.39,NW
53,306.18,82.92,12.97,2.59,Simple,0.39,NE
54,195.86,226.8,7.48,1.5,Simple,0.38,SW
55,147.8,67.03,12.12,2.42,Simple,0.38,NW
56,143.86,54.17,9.09,1.82,Simple,0.38,NW
57,282.22,94.65,5.03,1.01,Simple,0.36,NE
58,310.83,129.64,16.13,3.23,Simple,0.36,NE
59,289.63,111.89,8.95,1.79,Simple,0.36,NE
60,167.94,392.1,5.35,1.07,Simple,0.35,SW
61,195.74,68.48,8.8,1.76,Simple/Overlapping,0.34,NW
62,341.97,60.15,7.21,1.44,Simple,0.34,NE
63,288.1,398.49,12.01,2.4,Simple,0.33,SE
64,100.98,384.98,18.47,3.69,Simple,0.33,SW
65,212.06,11.09,8.67,1.73,Simple,0.32,NE
66,370.61,56.99,8.59,1.72,Simple,0.32,NE
67,269.22,240.12,8.86,1.77,Simple,0.32,SE
68,332.61,176.09,13.22,2.64,Simple,0.3,NE
69,142.63,129.76,13.05,2.61,Simple,0.3,NW
70,118.62,22.41,10.85,2.17,Simple,0.29,NW
71,183.43,409.25,30.18,6.04,Degraded,0.28,SW
72,100.21,187.0,11.78,2.36,Simple,0.28,NW
73,105.32,205.05,13.99,2.8,Simple,0.27,NW
74,132.29,411.91,5.24,1.05,Simple,0.27,SW
75,304.98,388.63,15.41,3.08,Simple,0.27,SE
76,76.69,119.17,6.39,1.28,Simple,0.27,NW
77,78.26,252.03,5.29,1.06,Simple,0.26,SW
78,102.01,323.18,8.31,1.66,Simple,0.26,SW
79,358.08,98.71,18.32,3.66,Simple,0.26,NE
80,239.98,340.11,4.97,0.99,Simple,0.26,SE
81,110.49,174.48,19.53,3.91,Simple/Overlapping,0.25,NW
82,354.17,260.4,10.7,2.14,Simple,0.25,SE
